			cm	t		distancia
81	4.389741	81	4.389741	0.012345679	0.012345679	0.04389741
81	4.508843	81	4.508843	0.012345679	0.024691358	0.04508843
81	4.491828	81	4.491828	0.012345679	0.037037037	0.04491828
81	4.015422	81	4.015422	0.012345679	0.049382716	0.04015422
81	4.440785	81	4.440785	0.012345679	0.061728395	0.04440785
81	4.440785	81	4.440785	0.012345679	0.074074074	0.04440785
81	3.862292	81	3.862292	0.012345679	0.086419753	0.03862292
81	4.372727	81	4.372727	0.012345679	0.098765432	0.04372727
81	4.372727	81	4.372727	0.012345679	0.111111111	0.04372727
81	3.896321	81	3.896321	0.012345679	0.12345679	0.03896321
81	4.321683	81	4.321683	0.012345679	0.135802469	0.04321683
81	4.304669	81	4.304669	0.012345679	0.148148148	0.04304669
81	4.219596	81	4.219596	0.012345679	0.160493827	0.04219596
81	4.321683	81	4.321683	0.012345679	0.172839506	0.04321683
81	4.304669	81	4.304669	0.012345679	0.185185185	0.04304669
81	4.219596	81	4.219596	0.012345679	0.197530864	0.04219596
81	4.321683	81	4.321683	0.012345679	0.209876543	0.04321683
81	4.321683	81	4.321683	0.012345679	0.222222222	0.04321683
81	3.794234	81	3.794234	0.012345679	0.234567901	0.03794234
81	3.896321	81	3.896321	0.012345679	0.24691358	0.03896321
81	4.372727	81	4.372727	0.012345679	0.259259259	0.04372727
81	4.27064	81	4.27064	0.012345679	0.271604938	0.0427064
81	4.372727	81	4.372727	0.012345679	0.283950617	0.04372727
81	3.964379	81	3.964379	0.012345679	0.296296296	0.03964379
81	3.947364	81	3.947364	0.012345679	0.308641975	0.03947364
81	4.440785	81	4.440785	0.012345679	0.320987654	0.04440785
81	4.440785	81	4.440785	0.012345679	0.333333333	0.04440785
81	4.338698	81	4.338698	0.012345679	0.345679012	0.04338698
81	4.321683	81	4.321683	0.012345679	0.358024691	0.04321683
81	4.440785	81	4.440785	0.012345679	0.37037037	0.04440785
81	4.440785	81	4.440785	0.012345679	0.382716049	0.04440785
81	4.338698	81	4.338698	0.012345679	0.395061728	0.04338698
81	3.913335	81	3.913335	0.012345679	0.407407407	0.03913335
81	4.015422	81	4.015422	0.012345679	0.419753086	0.04015422
81	4.015422	81	4.015422	0.012345679	0.432098765	0.04015422
81	4.032437	81	4.032437	0.012345679	0.444444444	0.04032437
81	4.389741	81	4.389741	0.012345679	0.456790123	0.04389741
81	4.389741	81	4.389741	0.012345679	0.469135802	0.04389741
81	4.491828	81	4.491828	0.012345679	0.481481481	0.04491828
81	4.491828	81	4.491828	0.012345679	0.49382716	0.04491828
81	4.491828	81	4.491828	0.012345679	0.50617284	0.04491828
81	4.389741	81	4.389741	0.012345679	0.518518519	0.04389741
81	4.491828	81	4.491828	0.012345679	0.530864198	0.04491828
81	4.015422	81	4.015422	0.012345679	0.543209877	0.04015422
81	4.015422	81	4.015422	0.012345679	0.555555556	0.04015422
81	4.015422	81	4.015422	0.012345679	0.567901235	0.04015422
81	4.015422	81	4.015422	0.012345679	0.580246914	0.04015422
81	4.015422	81	4.015422	0.012345679	0.592592593	0.04015422
81	3.913335	81	3.913335	0.012345679	0.604938272	0.03913335
81	4.491828	81	4.491828	0.012345679	0.617283951	0.04491828
81	4.508843	81	4.508843	0.012345679	0.62962963	0.04508843
81	4.389741	81	4.389741	0.012345679	0.641975309	0.04389741
81	4.389741	81	4.389741	0.012345679	0.654320988	0.04389741
81	4.389741	81	4.389741	0.012345679	0.666666667	0.04389741
81	4.08348	81	4.08348	0.012345679	0.679012346	0.0408348
81	4.066466	81	4.066466	0.012345679	0.691358025	0.04066466
81	4.559886	81	4.559886	0.012345679	0.703703704	0.04559886
81	4.440785	81	4.440785	0.012345679	0.716049383	0.04440785
81	4.457799	81	4.457799	0.012345679	0.728395062	0.04457799
81	4.08348	81	4.08348	0.012345679	0.740740741	0.0408348
81	4.08348	81	4.08348	0.012345679	0.75308642	0.0408348
81	4.389741	81	4.389741	0.012345679	0.765432099	0.04389741
81	4.015422	81	4.015422	0.012345679	0.777777778	0.04015422
81	4.440785	81	4.440785	0.012345679	0.790123457	0.04440785
81	4.440785	81	4.440785	0.012345679	0.802469136	0.04440785
81	4.372727	81	4.372727	0.012345679	0.814814815	0.04372727
81	3.896321	81	3.896321	0.012345679	0.827160494	0.03896321
81	4.321683	81	4.321683	0.012345679	0.839506173	0.04321683
81	3.74319	81	3.74319	0.012345679	0.851851852	0.0374319
81	4.253625	81	4.253625	0.012345679	0.864197531	0.04253625
81	3.777219	81	3.777219	0.012345679	0.87654321	0.03777219
81	4.100495	81	4.100495	0.012345679	0.888888889	0.04100495
81	4.202582	81	4.202582	0.012345679	0.901234568	0.04202582
81	3.726176	81	3.726176	0.012345679	0.913580247	0.03726176
81	4.032437	81	4.032437	0.012345679	0.925925926	0.04032437
81	4.134524	81	4.134524	0.012345679	0.938271605	0.04134524
81	4.134524	81	4.134524	0.012345679	0.950617284	0.04134524
81	4.032437	81	4.032437	0.012345679	0.962962963	0.04032437
81	3.607074	81	3.607074	0.012345679	0.975308642	0.03607074
81	4.508843	81	4.508843	0.012345679	0.987654321	0.04508843
